,conv_id,empathy,relevance,fluency
0,hit:10145_conv:20290,3.0,4.0,4.0
1,hit:10264_conv:20529,2.0,4.0,4.0
2,hit:11090_conv:22181,3.0,4.0,4.0
3,hit:11447_conv:22894,2.0,3.0,3.0
4,hit:11786_conv:23572,2.0,3.0,3.0
5,hit:11794_conv:23589,1.0,1.0,1.0
6,hit:12057_conv:24115,3.0,4.0,3.0
7,hit:12267_conv:24535,1.0,2.0,3.0
8,hit:12276_conv:24553,3.0,3.0,4.0
9,hit:1490_conv:2981,2.0,3.0,3.0
10,hit:1502_conv:3005,2.0,4.0,4.0
11,hit:1670_conv:3341,2.0,3.0,4.0
12,hit:2088_conv:4177,3.0,4.0,4.0
13,hit:2097_conv:4194,2.0,3.0,4.0
14,hit:3104_conv:6209,2.0,3.0,4.0
15,hit:3379_conv:6758,2.0,4.0,4.0
16,hit:3636_conv:7272,3.0,4.0,4.0
17,hit:3735_conv:7470,2.0,2.0,3.0
18,hit:3931_conv:7863,2.0,3.0,4.0
19,hit:3961_conv:7922,2.0,3.0,4.0
20,hit:401_conv:803,2.0,3.0,4.0
21,hit:4090_conv:8181,2.0,3.0,3.0
22,hit:4103_conv:8207,3.0,4.0,4.0
23,hit:4233_conv:8466,2.0,2.0,4.0
24,hit:4345_conv:8691,2.0,3.0,3.0
25,hit:4722_conv:9445,2.0,4.0,4.0
26,hit:478_conv:956,2.0,3.0,3.0
27,hit:4844_conv:9689,2.0,3.0,3.0
28,hit:529_conv:1059,2.0,3.0,4.0
29,hit:5323_conv:10646,2.0,2.0,3.0
30,hit:5574_conv:11149,2.0,3.0,4.0
31,hit:5579_conv:11158,2.0,3.0,4.0
32,hit:6053_conv:12106,1.0,2.0,3.0
33,hit:6367_conv:12734,2.0,4.0,4.0
34,hit:6613_conv:13226,2.0,3.0,3.0
35,hit:6759_conv:13519,3.0,3.0,4.0
36,hit:7112_conv:14224,2.0,2.0,3.0
37,hit:7797_conv:15594,2.0,3.0,4.0
38,hit:8012_conv:16024,4.0,5.0,5.0
39,hit:8290_conv:16581,4.0,5.0,5.0
40,hit:8311_conv:16622,2.0,4.0,4.0
41,hit:8681_conv:17362,2.0,4.0,4.0
42,hit:887_conv:1775,2.0,2.0,3.0
43,hit:8986_conv:17972,4.0,4.0,4.0
44,hit:9116_conv:18233,1.0,2.0,3.0
45,hit:9338_conv:18676,2.0,3.0,4.0
46,hit:9349_conv:18698,4.0,5.0,5.0
47,hit:965_conv:1930,2.0,4.0,4.0
48,hit:9772_conv:19545,2.0,3.0,4.0
49,hit:9988_conv:19976,2.0,3.0,4.0
